1024 , 8 , 2.5 : 3.75s,30.32s,VF48Events:565,Verticies:517,PassedCuts:362
1024 , 8 , 3 : 3.29s,30.16s,VF48Events:565,Verticies:518,PassedCuts:363
1024 , 8 , 3.5 : 3.35s,29.68s,VF48Events:565,Verticies:518,PassedCuts:362
1024 , 8 , 4 : 3.28s,29.49s,VF48Events:565,Verticies:517,PassedCuts:365
1024 , 4 , 2 : 10.08s,30.63s,VF48Events:565,Verticies:519,PassedCuts:359
1024 , 4 , 2.5 : 10.30s,29.76s,VF48Events:565,Verticies:518,PassedCuts:365
1024 , 4 , 3 : 11.00s,29.52s,VF48Events:565,Verticies:517,PassedCuts:367
1024 , 4 , 3.5 : 10.97s,29.41s,VF48Events:565,Verticies:518,PassedCuts:365
1024 , 4 , 4 : 10.11s,29.29s,VF48Events:565,Verticies:516,PassedCuts:365
1024 , 1 , 2 : 12.93s,30.47s,VF48Events:565,Verticies:519,PassedCuts:361
1024 , 1 , 2.5 : 13.81s,29.81s,VF48Events:565,Verticies:518,PassedCuts:366
1024 , 1 , 3 : 13.45s,29.58s,VF48Events:565,Verticies:517,PassedCuts:365
1024 , 1 , 3.5 : 13.24s,29.60s,VF48Events:565,Verticies:518,PassedCuts:366
1024 , 1 , 4 : 13.86s,29.35s,VF48Events:565,Verticies:516,PassedCuts:364
1024 , 0.25 , 2 : 17.94s,30.55s,VF48Events:565,Verticies:519,PassedCuts:364
1024 , 0.25 , 2.5 : 17.18s,29.82s,VF48Events:565,Verticies:518,PassedCuts:367
1024 , 0.25 , 3 : 16.73s,29.58s,VF48Events:565,Verticies:518,PassedCuts:366
1024 , 0.25 , 3.5 : 17.56s,29.36s,VF48Events:565,Verticies:518,PassedCuts:366
1024 , 0.25 , 4 : 17.54s,29.43s,VF48Events:565,Verticies:516,PassedCuts:365
1024 , 0.1 , 2 : 23.03s,30.47s,VF48Events:565,Verticies:519,PassedCuts:365
1024 , 0.1 , 2.5 : 22.16s,30.06s,VF48Events:565,Verticies:518,PassedCuts:367
1024 , 0.1 , 3 : 21.52s,29.58s,VF48Events:565,Verticies:517,PassedCuts:365
1024 , 0.1 , 3.5 : 22.56s,29.42s,VF48Events:565,Verticies:518,PassedCuts:367
1024 , 0.1 , 4 : 21.73s,29.57s,VF48Events:565,Verticies:516,PassedCuts:366
2048 , 16 , 2 : 3.37s,33.39s,VF48Events:565,Verticies:512,PassedCuts:336
2048 , 16 , 2.5 : 3.49s,30.29s,VF48Events:565,Verticies:518,PassedCuts:361
2048 , 16 , 3 : 3.48s,29.90s,VF48Events:565,Verticies:517,PassedCuts:357
2048 , 16 , 3.5 : 3.38s,29.79s,VF48Events:565,Verticies:518,PassedCuts:362
2048 , 16 , 4 : 3.26s,29.65s,VF48Events:565,Verticies:515,PassedCuts:366
2048 , 8 , 2 : 10.02s,30.16s,VF48Events:565,Verticies:516,PassedCuts:352
