  Psi0s, Psi_finals, np.log10(F_esc)
  26.96800,  26.96800, -12.08924
  26.96000,  26.96000, -12.08570
  26.95200,  26.95200, -12.08217
  26.94400,  26.94400, -12.07863
  26.93600,  26.93600, -12.07510
  26.92800,  26.92800, -12.07156
  26.92000,  26.92000, -12.06803
  26.91200,  26.91200, -12.06449
  26.90400,  26.90400, -12.06096
  26.89600,  26.89600, -12.05742
  26.88800,  26.88800, -12.05389
  26.88000,  26.88000, -12.05035
  26.87200,  26.87200, -12.04682
  26.86400,  26.86400, -12.04328
  26.85600,  26.85600, -12.03975
  26.84800,  26.84800, -12.03621
  26.84000,  26.84000, -12.03268
  26.83200,  26.83200, -12.02914
  26.82400,  26.82400, -12.02560
  26.81600,  26.81600, -12.02207
  26.80800,  26.80800, -12.01853
  26.80000,  26.80000, -12.01500
  26.79200,  26.79200, -12.01146
  26.78400,  26.78400, -12.00793
  26.77600,  26.77600, -12.00439
  26.76800,  26.76800, -12.00086
  26.76000,  26.76000, -11.99732
  26.75200,  26.75200, -11.99378
  26.74400,  26.74400, -11.99025
  26.73600,  26.73600, -11.98671
  26.72800,  26.72800, -11.98318
  26.72000,  26.72000, -11.97964
  26.71200,  26.71200, -11.97611
  26.70400,  26.70400, -11.97257
  26.69600,  26.69600, -11.96904
  26.68800,  26.68800, -11.96550
  26.68000,  26.68000, -11.96197
  26.67200,  26.67200, -11.95843
  26.66400,  26.66400, -11.95489
  26.65600,  26.65600, -11.95136
  26.64800,  26.64800, -11.94782
  26.64000,  26.64000, -11.94429
  26.63200,  26.63200, -11.94075
  26.62400,  26.62400, -11.93722
  26.61600,  26.61600, -11.93368
  26.60800,  26.60800, -11.93014
  26.60000,  26.60000, -11.92661
  26.59200,  26.59200, -11.92307
  26.58400,  26.58400, -11.91954
  26.57600,  26.57600, -11.91600
  26.56800,  26.56800, -11.91247
  26.56000,  26.56000, -11.90893
  26.55200,  26.55200, -11.90539
  26.54400,  26.54400, -11.90186
  26.53600,  26.53600, -11.89832
  26.52800,  26.52800, -11.89479
  26.52000,  26.52000, -11.89125
  26.51200,  26.51200, -11.88771
  26.50400,  26.50400, -11.88418
  26.49600,  26.49600, -11.88064
  26.48800,  26.48800, -11.87711
  26.48000,  26.48000, -11.87357
  26.47200,  26.47200, -11.87003
  26.46400,  26.46400, -11.86650
  26.45600,  26.45600, -11.86296
  26.44800,  26.44800, -11.85943
  26.44000,  26.44000, -11.85589
  26.43200,  26.43200, -11.85235
